"IHE","iShares Dow Jones US Pharmaceuticals","Specialty - Health","iShares","true","US","","","1990-01-01"
"IBB","iShares Nasdaq Biotechnology","Specialty - Health","iShares","true","US","","","1990-01-01"
"EPHE","iShares MSCI Philippines Invstb Mkt Idx","Pacific Stock","iShares","true","US","","","1990-01-01"
"TLT","iShares Barclays 20+ Year Treas Bond","Government Bond - Treasury","iShares","true","US","","","1990-01-01"
"RTL","iShares FTSE NAREIT Retail Cp Idx","Specialty - Real Estate","iShares","true","US","","","1990-01-01"
"IYW","iShares Dow Jones US Technology","Specialty - Technology","iShares","true","US","","","1990-01-01"
"IYC","iShares Dow Jones US Consumer Services","Specialty - Unaligned","iShares","true","US","","","1990-01-01"
"GLJ","iShares 10+ Year Government/Credit Bond","Government Bond - General","iShares","true","US","","","1990-01-01"
"TLH","iShares Barclays 10-20 Year Treasury Bd","Government Bond - Treasury","iShares","true","US","","","1990-01-01"
"JKE","iShares Morningstar Large Growth Index","Growth","iShares","true","US","","","1990-01-01"
"THD","iShares MSCI Thailand Invest Mkt Index","Pacific Stock","iShares","true","US","","","1990-01-01"
"REZ","iShares FTSE NAREIT Resid Plus Cp Idx","Specialty - Real Estate","iShares","true","US","","","1990-01-01"
"IYH","iShares Dow Jones US Healthcare","Specialty - Health","iShares","true","US","","","1990-01-01"
"IYK","iShares Dow Jones US Consumer Goods","Specialty - Unaligned","iShares","true","US","","","1990-01-01"
"IXN","iShares S&P Global Technology","Specialty - Technology","iShares","true","US","","","1990-01-01"
"IAU","iShares Gold Trust","Specialty - Precious Metals","iShares","true","US","","","1990-01-01"
"CLY","iShares 10+ Year Credit Bond","Income","iShares","true","US","","","1990-01-01"
"KXI","iShares S&P Global Consumer Staples","World Stock","iShares","true","US","","","1990-01-01"
"IGM","iShares S&P North Amer Technology","Specialty - Technology","iShares","true","US","","","1990-01-01"
"CMF","iShares S&P CA AMT-Free Municipal Bd","Municipal Bond - Single State","iShares","true","US","","","1990-01-01"
"IWY","iShares Russell Top 200 Growth Index","Growth","iShares","true","US","","","1990-01-01"
"ICF","iShares Cohen & Steers Realty Majors","Specialty - Real Estate","iShares","true","US","","","1990-01-01"
"IXJ","iShares S&P Global Healthcare","Specialty - Health","iShares","true","US","","","1990-01-01"
"IFNA","iShares FTSE EPRA/NAREIT North America","Specialty - Real Estate","iShares","true","US","","","1990-01-01"
"IDU","iShares Dow Jones US Utilities","Specialty - Utility","iShares","true","US","","","1990-01-01"
"IVW","iShares S&P 500 Growth Index","Growth","iShares","true","US","","","1990-01-01"
"FTY","iShares FTSE NAREIT Real Estate 50","Specialty - Real Estate","iShares","true","US","","","1990-01-01"
"DVY","iShares Dow Jones Select Dividend Index","Growth and Income","iShares","true","US","","","1990-01-01"
"IEF","iShares Barclays 7-10 Year Treasury","Government Bond - Treasury","iShares","true","US","","","1990-01-01"
"AXSL","iShares MSCI ACWI ex US Cnsmr Stpls Idx","Foreign Stock","iShares","true","US","","","1990-01-01"
"MUB","iShares S&P National AMT-Free Muni Bd","Municipal Bond - National","iShares","true","US","","","1990-01-01"
"IWF","iShares Russell 1000 Growth Index","Growth","iShares","true","US","","","1990-01-01"
"TIP","iShares Barclays TIPS Bond","Government Bond - Treasury","iShares","true","US","","","1990-01-01"
"IWZ","iShares Russell 3000 Growth Index","Growth","iShares","true","US","","","1990-01-01"
"OEF","iShares S&P 100 Index","Growth","iShares","true","US","","","1990-01-01"
"JKD","iShares Morningstar Large Core Index","Growth","iShares","true","US","","","1990-01-01"
"ITB","iShares Dow Jones US Home Construction","Specialty - Real Estate","iShares","true","US","","","1990-01-01"
"EMB","iShares JPMorgan USD Emerg Markets Bond","Worldwide Bond","iShares","true","US","","","1990-01-01"
"IYR","iShares Dow Jones US Real Estate","Specialty - Real Estate","iShares","true","US","","","1990-01-01"
"AXHE","iShares MSCI ACWI ex US Health Care Idx","Specialty - Health","iShares","true","US","","","1990-01-01"
"RXI","iShares S&P Global Cons Discretionary","World Stock","iShares","true","US","","","1990-01-01"
"IWL","iShares Russell Top 200 Index","Growth","iShares","true","US","","","1990-01-01"
"KLD","iShares MSCI USA ESG Select Index","Growth","iShares","true","US","","","1990-01-01"
"IVV","iShares S&P 500 Index","Growth","iShares","true","US","","","1990-01-01"
"DSI","iShares KLD 400 Social Index","Growth","iShares","true","US","","","1990-01-01"
"EUSA","iShares MSCI USA Index","Growth","iShares","true","US","","","1990-01-01"
"LQD","iShares iBoxx $ Invest Grade Corp Bond","Corporate Bond - General","iShares","true","US","","","1990-01-01"
"NYF","iShares S&P NY AMT-Free Municipal Bd","Municipal Bond - Single State","iShares","true","US","","","1990-01-01"
"IGV","iShares S&P North Amer Tech-Software","Specialty - Technology","iShares","true","US","","","1990-01-01"
"JKG","iShares Morningstar Mid Core Index","Growth","iShares","true","US","","","1990-01-01"
"IYY","iShares Dow Jones U.S. Index","Growth","iShares","true","US","","","1990-01-01"
"IJT","iShares S&P SmallCap 600 Growth","Small Company","iShares","true","US","","","1990-01-01"
"ISI","iShares S&P 1500 Index","Growth","iShares","true","US","","","1990-01-01"
"IWB","iShares Russell 1000 Index","Growth","iShares","true","US","","","1990-01-01"
"CFT","iShares Barclays Credit Bond","Income","iShares","true","US","","","1990-01-01"
"IHF","iShares Dow Jones US Healthcare Provider","Specialty - Health","iShares","true","US","","","1990-01-01"
"IJR","iShares S&P SmallCap 600 Index","Small Company","iShares","true","US","","","1990-01-01"
"EIRL","iShares MSCI Ireland Cppd Invstb Mkt Idx","Europe Stock","iShares","true","US","","","1990-01-01"
"IWV","iShares Russell 3000 Index","Growth","iShares","true","US","","","1990-01-01"
"GBF","iShares Barclays Government/Credit Bond","Income","iShares","true","US","","","1990-01-01"
"MUAF","iShares 2017 S&P AMT-Free Municipal Ser","Municipal Bond - National","iShares","true","US","","","1990-01-01"
"IJS","iShares S&P SmallCap 600 Value Index","Small Company","iShares","true","US","","","1990-01-01"
"IHI","iShares Dow Jones US Medical Devices","Specialty - Health","iShares","true","US","","","1990-01-01"
"TZE","iShares S&P Target Date 2015","Asset Allocation","iShares","true","US","","","1990-01-01"
"ITA","iShares Dow Jones US Aerospace & Defense","Growth","iShares","true","US","","","1990-01-01"
"AGG","iShares Barclays Aggregate Bond","Multisector Bond","iShares","true","US","","","1990-01-01"
"MUAE","iShares 2016 S&P AMT-Free Municipal Ser","Municipal Bond - National","iShares","true","US","","","1990-01-01"
"IWP","iShares Russell Midcap Growth Index","Growth","iShares","true","US","","","1990-01-01"
"TGR","iShares S&P Target Date Retirement Inc","Asset Allocation","iShares","true","US","","","1990-01-01"
"IEI","iShares Barclays 3-7 Year Treasury Bond","Government Bond - Treasury","iShares","true","US","","","1990-01-01"
"IJK","iShares S&P MidCap 400 Growth Index","Growth","iShares","true","US","","","1990-01-01"
"EIDO","iShares MSCI Indonesia Invstble Mkt Idx","Pacific Stock","iShares","true","US","","","1990-01-01"
"IVE","iShares S&P 500 Value Index","Growth","iShares","true","US","","","1990-01-01"
"HYG","iShares iBoxx $ High Yield Corporate Bd","Corporate Bond - High Yield","iShares","true","US","","","1990-01-01"
"NY","iShares NYSE 100 Index","Growth","iShares","true","US","","","1990-01-01"
"CIU","iShares Barclays Intermediate Credit Bd","Income","iShares","true","US","","","1990-01-01"
"IWX","iShares Russell Top 200 Value Index","Growth","iShares","true","US","","","1990-01-01"
"AOR","iShares S&P Growth Allocation","Asset Allocation","iShares","true","US","","","1990-01-01"
"AOK","iShares S&P Conservative Allocation","Asset Allocation","iShares","true","US","","","1990-01-01"
"IWD","iShares Russell 1000 Value Index","Growth","iShares","true","US","","","1990-01-01"
"TZD","iShares S&P Target Date 2010","Asset Allocation","iShares","true","US","","","1990-01-01"
"TZO","iShares S&P Target Date 2035","Asset Allocation","iShares","true","US","","","1990-01-01"
"MBB","iShares Barclays MBS Bond","Government Bond - Mortgage","iShares","true","US","","","1990-01-01"
"IWR","iShares Russell Midcap Index","Growth","iShares","true","US","","","1990-01-01"
"JKK","iShares Morningstar Small Growth Index","Small Company","iShares","true","US","","","1990-01-01"
