SPAG,iShares S&P Commodity Producers Agribusiness(SPAG),Alternatives,iShares,true,UK,,,2012-01-16
IESE,iShares Dow Jones Europe Sustainability Screened(IESE),Alternatives,iShares,true,UK,,,2012-01-16
IGSG,iShares Dow Jones Global Sustainability Screened(IGSG),Alternatives,iShares,true,UK,,,2012-01-16
IASP,iShares FTSE EPRA/NAREIT Asia Property Yield Fund(IASP),Alternatives,iShares,true,UK,,,2012-01-16
IWDP,iShares FTSE EPRA/NAREIT Developed Markets Property Yield Fund(IWDP),Alternatives,iShares,true,UK,,,2012-01-16
IUKP,iShares FTSE EPRA/NAREIT UK Property Fund(IUKP),Alternatives,iShares,true,UK,,,2012-01-16
IUSP,iShares FTSE EPRA/NAREIT US Property Yield Fund(IUSP),Alternatives,iShares,true,UK,,,2012-01-16
IPRP,iShares FTSE/EPRA European Property Index Fund(IPRP),Alternatives,iShares,true,UK,,,2012-01-16
INFR,iShares FTSE/Macquarie Global Infrastructure 100(INFR),Alternatives,iShares,true,UK,,,2012-01-16
ISEM,iShares MSCI Emerging Markets Islamic(ISEM),Alternatives,iShares,true,UK,,,2012-01-16
ISUS,iShares MSCI USA Islamic(ISUS),Alternatives,iShares,true,UK,,,2012-01-16
ISWD,iShares MSCI World Islamic(ISWD),Alternatives,iShares,true,UK,,,2012-01-16
SPGP,iShares S&P Commodity Producers Gold(SPGP),Alternatives,iShares,true,UK,,,2012-01-16
SPOG,iShares S&P Commodity Producers Oil and Gas(SPOG),Alternatives,iShares,true,UK,,,2012-01-16
IEMI,iShares S&P Emerging Market Infrastructure(IEMI),Alternatives,iShares,true,UK,,,2012-01-16
INRG,iShares S&P Global Clean Energy(INRG),Alternatives,iShares,true,UK,,,2012-01-16
WOOD,iShares S&P Global Timber & Forestry(WOOD),Alternatives,iShares,true,UK,,,2012-01-16
IH2O,iShares S&P Global Water(IH2O),Alternatives,iShares,true,UK,,,2012-01-16
IPRV,iShares S&P Listed Private Equity(IPRV),Alternatives,iShares,true,UK,,,2012-01-16
IAEX,iShares AEX(IAEX),Developed Equity,iShares,true,UK,,,2012-01-16
IAPD,iShares DJ Asia/Pacific Select Dividend 30(IAPD),Developed Equity,iShares,true,UK,,,2012-01-16
IESE,iShares Dow Jones Europe Sustainability Screened(IESE),Developed Equity,iShares,true,UK,,,2012-01-16
IGSG,iShares Dow Jones Global Sustainability Screened(IGSG),Developed Equity,iShares,true,UK,,,2012-01-16
SEUA,iShares EURO STOXX 50 (Acc)(SEUA),Developed Equity,iShares,true,UK,,,2012-01-16
EUE,iShares EURO STOXX 50(EUE),Developed Equity,iShares,true,UK,,,2012-01-16
DJMC,iShares EURO STOXX Mid(DJMC),Developed Equity,iShares,true,UK,,,2012-01-16
IDVY,iShares EURO STOXX Select Dividend 30(IDVY),Developed Equity,iShares,true,UK,,,2012-01-16
DJSC,iShares EURO STOXX Small(DJSC),Developed Equity,iShares,true,UK,,,2012-01-16
IDJG,iShares EURO STOXX Total Market Growth Large(IDJG),Developed Equity,iShares,true,UK,,,2012-01-16
IDJV,iShares EURO STOXX Total Market Value Large(IDJV),Developed Equity,iShares,true,UK,,,2012-01-16
ISF,iShares FTSE 100(ISF),Developed Equity,iShares,true,UK,,,2012-01-16
MIDD,iShares FTSE 250(MIDD),Developed Equity,iShares,true,UK,,,2012-01-16
IWXU,iShares FTSE Developed World ex-UK(IWXU),Developed Equity,iShares,true,UK,,,2012-01-16
IASP,iShares FTSE EPRA/NAREIT Asia Property Yield Fund(IASP),Developed Equity,iShares,true,UK,,,2012-01-16
IWDP,iShares FTSE EPRA/NAREIT Developed Markets Property Yield Fund(IWDP),Developed Equity,iShares,true,UK,,,2012-01-16
IUKP,iShares FTSE EPRA/NAREIT UK Property Fund(IUKP),Developed Equity,iShares,true,UK,,,2012-01-16
IUSP,iShares FTSE EPRA/NAREIT US Property Yield Fund(IUSP),Developed Equity,iShares,true,UK,,,2012-01-16
IMIB,iShares FTSE MIB(IMIB),Developed Equity,iShares,true,UK,,,2012-01-16
IUKD,iShares FTSE UK Dividend Plus(IUKD),Developed Equity,iShares,true,UK,,,2012-01-16
IPRP,iShares FTSE/EPRA European Property Index Fund(IPRP),Developed Equity,iShares,true,UK,,,2012-01-16
IEUT,iShares FTSEurofirst 100(IEUT),Developed Equity,iShares,true,UK,,,2012-01-16
IEUR,iShares FTSEurofirst 80(IEUR),Developed Equity,iShares,true,UK,,,2012-01-16
ISFE,iShares MSCI AC Far East ex-Japan SmallCap(ISFE),Developed Equity,iShares,true,UK,,,2012-01-16
SAUS,iShares MSCI Australia(SAUS),Developed Equity,iShares,true,UK,,,2012-01-16
SCAN,iShares MSCI Canada(SCAN),Developed Equity,iShares,true,UK,,,2012-01-16
SMEA,iShares MSCI Europe (Acc)(SMEA),Developed Equity,iShares,true,UK,,,2012-01-16
IXMU,iShares MSCI Europe ex-EMU(IXMU),Developed Equity,iShares,true,UK,,,2012-01-16
IEUX,iShares MSCI Europe ex-UK(IEUX),Developed Equity,iShares,true,UK,,,2012-01-16
IMEU,iShares MSCI Europe(IMEU),Developed Equity,iShares,true,UK,,,2012-01-16
SJPA,iShares MSCI Japan (Acc)(SJPA),Developed Equity,iShares,true,UK,,,2012-01-16
IJPE,iShares MSCI Japan Monthly EUR Hedged(IJPE),Developed Equity,iShares,true,UK,,,2012-01-16
ISJP,iShares MSCI Japan SmallCap(ISJP),Developed Equity,iShares,true,UK,,,2012-01-16
IJPN,iShares MSCI Japan(IJPN),Developed Equity,iShares,true,UK,,,2012-01-16
INAA,iShares MSCI North America(INAA),Developed Equity,iShares,true,UK,,,2012-01-16
IPXJ,iShares MSCI Pacific ex-Japan(IPXJ),Developed Equity,iShares,true,UK,,,2012-01-16
ISUS,iShares MSCI USA Islamic(ISUS),Developed Equity,iShares,true,UK,,,2012-01-16
SSAM,iShares MSCI USA(SSAM),Developed Equity,iShares,true,UK,,,2012-01-16
SWDA,iShares MSCI World (Acc)(SWDA),Developed Equity,iShares,true,UK,,,2012-01-16
ISWD,iShares MSCI World Islamic(ISWD),Developed Equity,iShares,true,UK,,,2012-01-16
IWDE,iShares MSCI World Monthly EUR Hedged(IWDE),Developed Equity,iShares,true,UK,,,2012-01-16
IGWD,iShares MSCI World Monthly GBP Hedged(IGWD),Developed Equity,iShares,true,UK,,,2012-01-16
IWRD,iShares MSCI World(IWRD),Developed Equity,iShares,true,UK,,,2012-01-16
SACC,iShares S&P 500 (Acc)(SACC),Developed Equity,iShares,true,UK,,,2012-01-16
IUSE,iShares S&P 500 Monthly EUR Hedged(IUSE),Developed Equity,iShares,true,UK,,,2012-01-16
IGUS,iShares S&P 500 Monthly GBP Hedged(IGUS),Developed Equity,iShares,true,UK,,,2012-01-16
IUSA,iShares S&P 500(IUSA),Developed Equity,iShares,true,UK,,,2012-01-16
ISP6,iShares S&P SmallCap 600(ISP6),Developed Equity,iShares,true,UK,,,2012-01-16
EUN,iShares STOXX Europe 50(EUN),Developed Equity,iShares,true,UK,,,2012-01-16
SEDY,iShares Dow Jones Emerging Markets Select Dividend(SEDY),Emergineg Equity,iShares,true,UK,,,2012-01-16
BRIC,iShares FTSE BRIC 50(BRIC),Emergineg Equity,iShares,true,UK,,,2012-01-16
FXC,iShares FTSE China 25(FXC),Emergineg Equity,iShares,true,UK,,,2012-01-16
ISFE,iShares MSCI AC Far East ex-Japan SmallCap(ISFE),Emergineg Equity,iShares,true,UK,,,2012-01-16
IFFF,iShares MSCI AC Far East ex-Japan(IFFF),Emergineg Equity,iShares,true,UK,,,2012-01-16
IBZL,iShares MSCI Brazil(IBZL),Emergineg Equity,iShares,true,UK,,,2012-01-16
LTAM,iShares MSCI EM Latin America(LTAM),Emergineg Equity,iShares,true,UK,,,2012-01-16
IEER,iShares MSCI Eastern Europe 10/40(IEER),Emergineg Equity,iShares,true,UK,,,2012-01-16
SEMA,iShares MSCI Emerging Markets (Acc)(SEMA),Emergineg Equity,iShares,true,UK,,,2012-01-16
ISEM,iShares MSCI Emerging Markets Islamic(ISEM),Emergineg Equity,iShares,true,UK,,,2012-01-16
IEMS,iShares MSCI Emerging Markets SmallCap(IEMS),Emergineg Equity,iShares,true,UK,,,2012-01-16
IEEM,iShares MSCI Emerging Markets(IEEM),Emergineg Equity,iShares,true,UK,,,2012-01-16
IGCC,iShares MSCI GCC Countries ex-Saudi Arabia(IGCC),Emergineg Equity,iShares,true,UK,,,2012-01-16
IKOR,iShares MSCI Korea(IKOR),Emergineg Equity,iShares,true,UK,,,2012-01-16
SPOL,iShares MSCI Poland(SPOL),Emergineg Equity,iShares,true,UK,,,2012-01-16
RUSS,iShares MSCI Russia Capped Swap(RUSS),Emergineg Equity,iShares,true,UK,,,2012-01-16
SRSA,iShares MSCI South Africa(SRSA),Emergineg Equity,iShares,true,UK,,,2012-01-16
ITWN,iShares MSCI Taiwan(ITWN),Emergineg Equity,iShares,true,UK,,,2012-01-16
ITKY,iShares MSCI Turkey(ITKY),Emergineg Equity,iShares,true,UK,,,2012-01-16
NFTY,iShares S&P CNX Nifty India Swap(NFTY),Emergineg Equity,iShares,true,UK,,,2012-01-16
IEMI,iShares S&P Emerging Market Infrastructure(IEMI),Emergineg Equity,iShares,true,UK,,,2012-01-16
SPAG,iShares S&P Commodity Producers Agribusiness(SPAG),Commodities,iShares,true,UK,,,2012-01-16
SPGP,iShares S&P Commodity Producers Gold(SPGP),Commodities,iShares,true,UK,,,2012-01-16
SPOG,iShares S&P Commodity Producers Oil and Gas(SPOG),Commodities,iShares,true,UK,,,2012-01-16
ITPS,iShares Barclays Capital $ TIPS(ITPS),Fixed Income,iShares,true,UK,,,2012-01-16
IBTS,iShares Barclays Capital $ Treasury Bond 1-3(IBTS),Fixed Income,iShares,true,UK,,,2012-01-16
IBTM,iShares Barclays Capital $ Treasury Bond 7-10(IBTM),Fixed Income,iShares,true,UK,,,2012-01-16
SEML,iShares Barclays Capital Emerging Market Local Govt Bond(SEML),Fixed Income,iShares,true,UK,,,2012-01-16
IEAG,iShares Barclays Capital Euro Aggregate Bond(IEAG),Fixed Income,iShares,true,UK,,,2012-01-16
SE15,iShares Barclays Capital Euro Corporate Bond 1-5(SE15),Fixed Income,iShares,true,UK,,,2012-01-16
EEX5,iShares Barclays Capital Euro Corporate Bond ex-Financials 1-5(EEX5),Fixed Income,iShares,true,UK,,,2012-01-16
EEXF,iShares Barclays Capital Euro Corporate Bond ex-Financials(EEXF),Fixed Income,iShares,true,UK,,,2012-01-16
IEAC,iShares Barclays Capital Euro Corporate Bond(IEAC),Fixed Income,iShares,true,UK,,,2012-01-16
IBGS,iShares Barclays Capital Euro Government Bond 1-3(IBGS),Fixed Income,iShares,true,UK,,,2012-01-16
IEGZ,iShares Barclays Capital Euro Government Bond 10-15(IEGZ),Fixed Income,iShares,true,UK,,,2012-01-16
IBGL,iShares Barclays Capital Euro Government Bond 15-30(IBGL),Fixed Income,iShares,true,UK,,,2012-01-16
IBGX,iShares Barclays Capital Euro Government Bond 3-5(IBGX),Fixed Income,iShares,true,UK,,,2012-01-16
IEGY,iShares Barclays Capital Euro Government Bond 5-7(IEGY),Fixed Income,iShares,true,UK,,,2012-01-16
IBGM,iShares Barclays Capital Euro Government Bond 7-10(IBGM),Fixed Income,iShares,true,UK,,,2012-01-16
IBCI,iShares Barclays Capital Euro Inflation Linked Bond(IBCI),Fixed Income,iShares,true,UK,,,2012-01-16
